axle_description,weight_per_axle,description_summary,axle_count,group_count,approx_axle_length,axle_length,max_axle_width,axle_group_summary,axles_per_group,axle_group_tire_type,axle_group_width,axle_operating_weights,axle_group_weight,axle_group_max_width,axle_group_total_weight,axle_group_distance
a libero nam dui proin,108576.81,et eros,8,2,18.2,12.93,11.8,nullam varius nulla facilisi,4,4,30.03,69684.69,13396.46,40.74,30123.36,34.26
at lorem integer tincidunt ante vel ipsum praesent,118370.89,porta volutpat erat quisque,6,2,12.02,11.8,10.43,posuere cubilia curae duis,2,2,34.48,36852.67,81161.83,49.88,16609.1,32.64
vel nisl duis ac nibh fusce lacus purus,337049.67,cras non velit,3,2,8.17,14.2,16.14,in sagittis,4,3,46.87,39777.44,78141.05,35.69,55868.34,47.52
vestibulum ante ipsum primis in faucibus,133005.8,pellentesque eget nunc,8,2,17.06,16.55,17.62,nam tristique,4,2,30.71,89569.23,92299.26,44.71,90301.62,30.83
metus arcu adipiscing molestie hendrerit at vulputate,397024.56,metus sapien ut nunc vestibulum,7,10,13.46,7.51,17.51,lectus pellentesque eget nunc,2,4,24.72,15657.54,70507.79,43.86,85633.79,29.26
in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem,162631.0,non velit nec nisi vulputate,6,3,9.86,12.93,17.59,odio cras mi,3,3,27.05,19208.73,61021.31,30.0,86473.82,30.04
lobortis sapien sapien non mi integer ac neque duis,466895.94,sem fusce consequat nulla nisl,6,7,7.05,18.22,13.82,fermentum donec ut mauris eget,4,2,43.64,90493.66,69311.81,35.02,42064.43,34.01
ipsum primis in faucibus orci,351340.45,leo odio condimentum,10,10,19.98,13.7,8.6,donec vitae,4,2,49.86,71197.99,52695.32,42.67,39563.91,29.26
vel sem sed sagittis nam congue risus semper,201986.72,pulvinar lobortis,10,4,8.98,13.4,10.18,ornare imperdiet sapien urna pretium,4,3,31.62,24707.26,94930.8,22.31,90167.63,35.11
integer ac leo pellentesque ultrices mattis,215629.85,consequat nulla,7,7,12.12,18.46,12.82,diam nam tristique,4,4,22.09,69044.02,92859.77,23.47,90299.33,24.74
tristique fusce congue diam id,299039.49,lacus at turpis donec posuere,7,5,9.09,19.68,7.3,nascetur ridiculus mus etiam vel,3,3,30.77,93061.0,50266.33,45.89,44323.75,22.55
metus vitae ipsum aliquam non mauris morbi non lectus aliquam,127462.44,libero convallis eget eleifend luctus,6,2,10.97,19.47,11.32,at velit eu est congue,2,3,45.94,77267.79,85409.76,47.69,79180.22,26.45
tortor risus dapibus augue vel accumsan tellus nisi,152133.92,interdum mauris ullamcorper purus sit,3,8,10.23,19.29,18.53,et magnis dis,3,2,24.55,66121.09,99643.32,22.53,77990.59,31.17
eu est congue elementum in hac,189105.22,id pretium iaculis,7,3,16.09,8.12,19.58,nisl duis bibendum,3,3,41.18,49662.54,48646.62,45.57,89552.5,45.53
consequat morbi a ipsum integer a nibh in quis,310043.08,at velit vivamus,6,5,14.7,13.95,7.17,felis eu sapien cursus vestibulum,3,3,38.8,34250.29,60390.86,47.95,55679.12,21.99
massa donec dapibus duis at velit,391691.74,nisl duis ac nibh,5,7,18.89,12.74,8.93,suspendisse accumsan,3,2,27.43,93776.16,91045.34,38.65,54729.19,48.98
velit id pretium iaculis diam erat fermentum justo,111539.63,nulla mollis,4,5,9.49,8.35,8.38,diam cras pellentesque,3,2,49.8,28238.66,72678.39,24.59,81362.0,26.16
mauris laoreet ut rhoncus aliquet,134933.29,non velit donec diam neque,10,8,15.36,11.63,15.61,primis in faucibus orci luctus,3,3,44.52,18875.66,76727.59,45.52,85798.44,26.96
ante ipsum primis in faucibus orci luctus et,360247.44,nunc nisl duis,4,3,17.97,19.05,12.63,ut erat id,3,2,31.92,63590.87,56922.86,44.42,26640.65,22.19
duis bibendum morbi non quam nec,174053.84,ante vel ipsum praesent,9,8,19.16,11.62,12.85,et magnis dis,2,2,32.86,33670.01,87703.86,29.73,48196.31,39.21
odio porttitor id consequat in consequat ut,377535.64,potenti nullam porttitor,9,7,16.68,16.75,9.37,quam fringilla rhoncus mauris enim,2,3,26.69,40402.41,84075.01,30.85,26450.77,32.64
id ligula suspendisse ornare consequat lectus in est risus auctor,432545.54,turpis donec,5,6,6.35,19.96,14.07,risus auctor,4,4,32.46,39882.43,29711.55,49.9,17962.53,48.97
praesent lectus vestibulum quam sapien varius ut blandit,377291.41,ac consequat metus sapien,10,9,11.75,14.65,8.06,pellentesque eget nunc,2,2,24.95,39937.65,36125.96,23.81,10315.81,40.97
quam pharetra magna ac consequat metus sapien ut nunc,250712.98,platea dictumst etiam faucibus,3,3,14.95,6.97,10.86,aenean fermentum donec,4,3,26.12,16684.17,25766.26,35.6,92589.25,34.92
tortor sollicitudin mi sit amet lobortis sapien sapien,383504.63,curabitur in libero,7,2,9.79,11.69,8.38,rhoncus dui vel sem,2,2,25.73,97685.4,22464.2,22.95,96808.44,35.43
erat tortor sollicitudin mi sit amet lobortis,353381.47,etiam faucibus cursus urna,10,7,19.11,9.93,14.82,vivamus tortor duis mattis,2,2,40.32,56901.33,26929.01,37.63,53900.45,41.9
consequat metus sapien ut nunc vestibulum ante ipsum,336027.16,eros viverra eget congue eget,6,5,10.3,19.56,17.61,eu felis fusce,4,4,31.8,92911.77,97684.74,46.56,67368.63,41.9
purus aliquet at feugiat non pretium quis lectus,493319.04,pulvinar nulla pede,9,3,11.88,19.39,10.08,varius ut,3,3,47.02,29817.96,12115.97,24.75,19925.85,20.09
suscipit ligula in lacus curabitur at ipsum ac tellus semper,416118.84,leo odio condimentum id luctus,10,10,9.32,16.11,19.57,mi pede malesuada,4,2,36.38,73171.47,79446.8,39.46,99661.33,46.13
quis turpis eget elit sodales scelerisque mauris,418900.63,justo in,6,9,11.37,16.22,7.56,vel pede morbi porttitor,2,2,20.31,53590.21,16163.93,31.71,28862.77,48.72
nullam sit amet turpis elementum ligula vehicula consequat,121419.09,id sapien in,10,2,19.85,17.94,19.88,ullamcorper purus sit amet nulla,4,3,45.71,83726.46,30050.89,28.98,93198.09,24.11
tempor convallis nulla neque libero convallis,114700.8,molestie hendrerit at vulputate,7,10,10.13,11.21,11.21,nulla suscipit ligula,3,4,40.44,64499.98,57091.4,23.76,89345.06,22.53
eu sapien cursus vestibulum proin eu,476021.21,lectus suspendisse potenti in eleifend,6,3,13.23,11.12,9.37,cras non velit,3,4,40.73,68414.78,58923.6,42.81,45946.1,27.17
tempus semper est quam pharetra magna ac consequat metus sapien,322562.12,interdum eu,10,4,8.93,15.25,18.53,eget nunc donec,4,3,39.44,70306.25,40959.89,21.21,43347.06,26.76
odio porttitor id consequat in consequat ut nulla,447672.48,aliquam sit amet diam in,7,3,12.16,12.99,13.64,ut ultrices vel,3,4,43.51,57815.41,46544.09,36.76,72784.34,24.99
turpis nec euismod scelerisque quam turpis adipiscing lorem,122601.72,sed vestibulum sit amet,10,8,12.92,14.03,6.63,orci nullam molestie nibh in,3,4,20.12,63770.52,58050.97,47.86,15560.77,20.14
morbi porttitor lorem id ligula suspendisse ornare consequat lectus,237546.33,praesent id massa,9,7,18.15,9.95,11.15,elit proin risus praesent lectus,2,2,32.97,31545.69,36825.61,23.38,28662.91,25.56
erat eros viverra eget congue eget semper rutrum,142791.4,quisque ut erat curabitur,8,2,14.56,11.52,18.48,dictumst aliquam augue quam sollicitudin,3,3,49.88,83464.19,72559.02,28.74,14149.13,49.4
vulputate nonummy maecenas tincidunt lacus at velit,156945.23,in faucibus orci luctus et,8,9,8.98,8.51,19.96,tortor duis mattis egestas,2,3,33.47,31486.0,89967.83,40.06,39427.58,31.56
lacus at velit vivamus vel nulla eget,160291.56,interdum mauris ullamcorper purus,8,6,13.86,19.97,11.79,amet erat nulla tempus vivamus,4,4,34.55,55914.03,45706.92,26.55,24157.12,38.89
in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae,218412.76,vivamus metus,8,8,10.6,7.88,15.43,nunc purus,3,3,28.1,86216.63,52821.3,43.18,27325.54,37.86
aenean auctor gravida sem praesent id massa id nisl venenatis,282749.14,donec posuere metus vitae,8,3,18.2,13.38,16.69,dolor morbi,4,3,39.45,96393.77,81975.5,40.11,64387.71,35.56
urna ut tellus nulla ut erat,218306.17,sit amet consectetuer adipiscing elit,10,10,13.15,10.32,8.6,justo morbi ut odio cras,2,2,27.28,38963.07,85392.92,36.94,12731.58,44.3
amet lobortis sapien sapien non mi,231916.81,ut massa quis augue luctus,3,5,16.14,6.88,8.43,augue a suscipit nulla elit,4,2,26.73,47532.77,78967.14,44.42,29308.05,21.87
eros elementum pellentesque quisque porta volutpat erat quisque erat,178228.89,morbi porttitor lorem,3,3,7.58,8.09,18.49,mauris laoreet,2,4,49.91,75057.15,21992.25,24.23,62017.68,43.71
accumsan tortor quis turpis sed ante vivamus tortor duis mattis,270546.18,rutrum rutrum,10,9,19.49,19.21,10.52,ridiculus mus,4,2,47.42,59110.73,92770.6,36.19,29303.2,39.31
convallis tortor risus dapibus augue vel accumsan tellus nisi eu,357027.93,et ultrices posuere cubilia,4,2,14.42,15.05,9.39,nunc vestibulum ante,3,2,29.49,39345.33,15189.69,28.06,50965.91,37.44
ante ipsum primis in faucibus,256755.43,congue diam id ornare imperdiet,6,8,14.19,9.25,12.51,mi pede malesuada in imperdiet,3,3,34.4,33731.83,81169.36,21.07,35388.8,22.54
et magnis dis parturient montes nascetur,365920.67,augue a suscipit,4,2,16.64,19.18,16.11,sed vestibulum sit amet,2,3,25.45,29681.3,29686.09,29.2,81741.56,24.92
cras in purus eu magna vulputate luctus,323443.0,magna vestibulum,6,9,17.05,18.39,18.68,felis fusce posuere felis,4,4,47.54,41625.25,97706.19,46.98,24813.89,48.23
in ante vestibulum ante ipsum primis in faucibus,386419.29,parturient montes,5,9,19.96,10.0,13.51,ligula in,3,4,29.97,46058.68,65153.77,39.79,57676.49,40.61
vestibulum ante ipsum primis in faucibus,246870.2,erat volutpat,6,4,19.64,6.47,9.26,at turpis a,3,2,39.3,11567.43,90380.22,32.8,61505.04,49.92
posuere cubilia curae duis faucibus accumsan odio curabitur convallis,303738.47,justo pellentesque viverra,5,10,13.89,18.87,15.21,mattis egestas metus,4,4,35.95,63408.48,45651.76,49.31,33566.44,45.38
eget semper rutrum nulla nunc purus phasellus,130373.42,ac neque duis,7,4,9.88,10.32,17.0,nunc commodo,2,2,36.57,63933.8,46820.16,45.06,24403.8,23.18
a feugiat et eros vestibulum ac,114121.58,eros viverra eget,10,2,15.45,17.1,8.79,orci luctus et ultrices,2,2,32.9,32717.93,91524.29,39.91,94526.34,27.63
at nunc commodo placerat praesent blandit nam nulla integer,113860.33,ultrices posuere,7,4,9.08,10.77,18.05,non lectus aliquam sit amet,2,2,35.39,49461.94,98238.64,46.54,72927.3,32.77
fusce lacus purus aliquet at feugiat non pretium quis,206325.65,sit amet erat,5,3,10.86,17.23,17.76,curabitur in libero,3,3,21.74,26065.33,97638.31,34.74,41693.33,37.61
odio odio elementum eu interdum eu tincidunt in leo,223104.26,ante ipsum primis in faucibus,8,10,14.6,6.7,6.41,non sodales sed tincidunt,3,2,33.46,82488.52,32450.42,33.23,73733.18,30.03
ultrices enim lorem ipsum dolor sit,265956.68,elementum in hac habitasse,10,8,19.91,7.82,7.86,id consequat in,2,3,22.56,95395.68,10663.74,23.27,82533.2,43.79
integer a nibh in quis justo maecenas,488133.59,at feugiat,3,9,17.27,18.35,12.85,sagittis nam,2,4,45.98,45219.86,61236.78,25.75,21515.83,43.72
sit amet turpis elementum ligula,338040.35,risus semper porta,10,10,17.32,14.34,7.45,magna vestibulum,4,4,32.89,95274.49,85138.96,43.25,14056.91,34.37
curae mauris viverra diam vitae,441363.55,maecenas pulvinar lobortis est phasellus,7,2,15.94,11.17,12.42,in sagittis dui vel nisl,3,2,47.96,59150.91,55792.02,34.88,71453.97,22.56
dolor sit amet consectetuer adipiscing elit proin risus praesent lectus,450250.72,nulla suspendisse potenti,3,8,8.78,6.06,13.55,lectus in est,4,4,46.9,80994.17,73026.77,29.59,31864.21,23.39
pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis,169268.04,morbi a ipsum integer,9,10,17.87,9.11,14.8,mus vivamus vestibulum sagittis sapien,2,2,20.42,31527.09,85282.84,47.02,13503.96,45.12
magna vestibulum aliquet ultrices erat tortor,324365.95,ut volutpat,3,8,16.7,7.85,17.7,in purus,2,3,44.6,53242.09,48282.22,40.46,89092.98,28.86
massa donec dapibus duis at velit,236614.96,in faucibus orci luctus,5,9,8.88,7.57,7.0,semper porta volutpat quam,2,2,32.04,51055.95,11762.19,33.62,42462.44,23.61
aliquam erat volutpat in congue,384294.4,eleifend donec,7,2,8.16,15.72,12.06,cubilia curae,3,3,37.48,23005.35,62729.87,49.69,93272.0,27.82
ac neque duis bibendum morbi non,192685.65,sapien placerat ante nulla justo,9,8,12.12,14.57,10.72,eu pede,3,4,27.9,14791.77,68057.0,35.49,30914.23,33.91
duis aliquam convallis nunc proin at turpis a pede posuere,119578.73,nisl aenean lectus pellentesque eget,8,6,16.87,10.75,7.32,luctus et ultrices posuere cubilia,4,4,37.63,98671.52,12379.32,29.4,14594.47,47.52
ridiculus mus vivamus vestibulum sagittis sapien cum,351908.65,quis odio consequat varius,10,3,6.32,16.19,14.53,tortor sollicitudin mi sit,3,4,27.84,82670.49,16805.76,24.29,58347.28,44.29
dui nec nisi volutpat eleifend,322221.83,non interdum in ante,4,6,10.38,8.98,8.59,odio donec vitae nisi nam,4,3,48.93,66181.01,82099.64,26.49,22089.36,41.39
et eros vestibulum ac est lacinia nisi,473080.56,mauris lacinia sapien,6,9,14.13,15.29,19.35,quam sapien varius,2,4,35.32,83494.16,65645.47,40.77,14452.39,49.0
dis parturient montes nascetur ridiculus mus,481132.6,orci eget orci vehicula,9,5,19.49,19.23,12.61,pede lobortis ligula sit,4,2,32.71,50652.34,12485.28,39.98,42061.02,24.53
quis turpis eget elit sodales,149942.64,libero non,6,7,14.04,17.37,15.29,nulla nisl nunc,2,3,25.92,33425.39,68274.05,42.01,39972.91,41.15
eu interdum eu tincidunt in leo maecenas pulvinar lobortis est,492106.1,non ligula pellentesque ultrices phasellus,5,5,11.92,7.83,6.03,mi nulla ac enim,4,3,32.12,76976.2,11013.64,37.52,75567.95,41.8
imperdiet nullam orci pede venenatis non,270242.06,quisque ut erat curabitur gravida,5,7,12.67,17.5,12.4,venenatis non sodales sed,4,4,31.92,94909.35,44939.59,21.32,66124.26,35.67
rhoncus mauris enim leo rhoncus sed vestibulum sit,492126.32,enim sit,7,6,8.22,19.25,18.28,in sapien iaculis,4,3,31.1,67559.55,75254.11,40.92,61489.87,42.18
varius integer ac leo pellentesque ultrices mattis,252880.25,ante vestibulum ante ipsum,10,3,9.22,18.54,10.71,quisque ut erat,3,2,46.03,18651.71,39481.01,28.93,24176.93,25.76
in lacus curabitur at ipsum ac tellus,197391.48,sit amet,8,4,7.62,15.04,17.01,in eleifend,2,4,39.32,46319.81,44009.57,25.87,76768.96,30.53
morbi sem mauris laoreet ut rhoncus aliquet pulvinar,329862.96,quis tortor id,6,10,12.11,16.73,14.36,pede venenatis non sodales sed,3,3,39.8,15737.43,38999.85,46.15,16862.19,23.66
vestibulum sagittis sapien cum sociis natoque penatibus et magnis,487052.31,metus sapien ut nunc vestibulum,5,8,8.47,16.12,9.98,venenatis turpis,2,3,43.07,42473.11,63686.9,36.44,11801.19,27.28
lectus in quam fringilla rhoncus mauris enim leo,458013.23,montes nascetur,6,6,8.42,16.43,13.95,erat curabitur gravida nisi,3,2,36.01,76754.11,84278.03,39.07,18613.75,21.81
ut massa volutpat convallis morbi odio odio elementum eu interdum,160601.85,justo sollicitudin,3,8,16.11,16.9,17.16,magna vulputate luctus cum,4,2,23.99,68414.01,98881.2,25.89,38096.37,39.28
eget tincidunt eget tempus vel pede morbi porttitor lorem,144305.93,elementum ligula vehicula consequat morbi,4,8,17.88,17.16,7.87,sapien cursus vestibulum proin eu,2,3,27.01,72313.68,55424.21,32.89,85612.77,43.89
mauris eget massa tempor convallis,235600.3,varius integer ac,8,2,9.48,9.49,7.37,vitae nisi nam ultrices,3,3,30.07,72033.05,96223.55,49.59,77958.54,28.07
cursus vestibulum proin eu mi nulla ac enim in,470047.62,semper est,6,7,17.5,9.66,14.23,at diam nam tristique,3,4,49.3,62203.97,53462.78,39.53,56458.14,25.02
mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus,150554.29,convallis duis,8,6,11.46,19.41,13.42,fermentum donec ut mauris,2,3,48.85,71854.84,44078.71,36.83,33547.61,44.66
vestibulum sagittis sapien cum sociis natoque penatibus,178598.73,nascetur ridiculus mus etiam vel,8,10,15.72,15.41,17.83,proin at turpis a,3,3,43.17,67709.14,42000.66,43.12,37401.17,35.01
lobortis est phasellus sit amet erat nulla tempus vivamus in,318685.28,sociis natoque penatibus et magnis,7,5,13.13,18.85,13.72,orci luctus et ultrices,4,4,49.97,69847.52,16790.77,32.44,32900.44,39.79
at nibh in hac habitasse platea dictumst aliquam,238052.85,orci luctus,6,3,7.66,19.99,12.91,enim sit amet,4,4,49.89,81768.7,77312.7,32.06,52091.11,47.95
gravida sem praesent id massa id nisl,191543.9,fusce lacus purus aliquet,5,4,6.75,7.55,15.15,dui luctus rutrum nulla,2,2,48.59,63654.8,45626.75,48.16,32222.01,20.06
volutpat sapien arcu sed augue aliquam erat volutpat,365299.59,non pretium quis lectus suspendisse,4,3,6.78,7.48,13.41,rhoncus aliquam lacus morbi,4,4,22.78,56814.72,20446.23,28.24,41910.42,27.97
orci luctus et ultrices posuere cubilia,459668.19,felis fusce,6,8,13.58,7.94,9.04,tincidunt eu felis fusce posuere,3,2,43.78,89260.06,20048.51,25.52,17445.85,26.47
quis orci eget orci vehicula condimentum curabitur in,383052.92,vivamus vel nulla eget eros,5,2,14.55,18.46,11.6,blandit non interdum,3,2,47.96,78296.86,33888.03,37.97,65594.24,28.64
sagittis sapien cum sociis natoque,324525.89,nascetur ridiculus,5,3,18.93,12.76,15.1,congue risus semper,2,2,37.37,45404.62,74217.55,31.08,78380.94,49.43
eget eleifend luctus ultricies eu,232393.44,aliquam non mauris morbi non,6,2,13.27,6.97,13.74,rutrum nulla nunc purus,3,2,36.45,86381.6,67180.05,34.86,55336.46,48.48
in faucibus orci luctus et ultrices,300277.24,pharetra magna ac consequat,5,5,9.57,8.2,8.01,eros suspendisse accumsan tortor quis,4,2,36.69,95600.82,35897.01,44.47,59132.37,28.56
accumsan tellus nisi eu orci mauris lacinia,458889.67,suscipit a,5,2,8.6,17.34,8.09,purus sit,2,2,20.16,51230.5,89999.11,26.3,76756.93,40.94
cras non velit nec nisi vulputate nonummy maecenas,393577.63,sed accumsan felis ut at,6,5,9.47,14.15,12.76,amet nulla quisque,2,4,45.89,17267.64,35044.69,46.38,69535.49,21.45
elementum pellentesque quisque porta volutpat erat quisque erat eros,183087.63,ut dolor morbi,10,5,10.98,12.38,17.37,suscipit a feugiat,2,2,31.77,55053.61,19589.13,21.54,96891.48,23.67
ante vestibulum ante ipsum primis in faucibus orci luctus et,450470.03,donec pharetra magna vestibulum aliquet,9,10,10.17,7.07,12.94,in tempor turpis,2,3,43.38,11047.11,70483.13,29.4,54589.81,40.91
sit amet sapien dignissim vestibulum vestibulum ante,229077.32,pretium quis,7,8,14.99,8.8,14.28,vestibulum ante ipsum,2,3,32.46,65178.5,92680.73,20.93,75068.5,20.75
sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit,269646.06,at turpis,6,7,6.27,17.28,14.96,nibh fusce lacus purus aliquet,4,2,25.68,39975.33,47695.87,25.72,30911.05,25.52
est lacinia nisi venenatis tristique fusce congue diam id,402043.82,consequat varius integer ac leo,9,4,11.15,8.13,17.66,lectus pellentesque,3,4,42.83,81719.1,88375.23,32.81,89027.86,33.06
velit eu est congue elementum in hac habitasse,333768.93,bibendum felis sed,7,6,14.04,13.67,18.25,nibh quisque id justo,2,3,33.26,27960.64,58513.92,40.48,42549.92,45.26
mauris sit amet eros suspendisse accumsan tortor quis turpis sed,326260.01,tincidunt eget,3,7,14.6,10.67,9.79,donec ut mauris eget,2,4,48.45,39739.84,18721.97,48.65,14072.0,22.31
tortor duis mattis egestas metus aenean fermentum donec,483961.02,molestie lorem quisque,6,7,13.96,8.91,16.73,tincidunt nulla mollis,3,2,26.41,33044.65,29177.21,43.74,77555.22,40.45
ac nulla sed vel enim sit amet nunc viverra dapibus,230939.66,nunc rhoncus dui,10,3,13.55,10.4,14.65,sem duis,2,2,38.71,58319.38,39935.54,36.22,67843.22,25.52
maecenas rhoncus aliquam lacus morbi quis tortor id nulla,184342.54,congue elementum in hac habitasse,3,3,7.2,7.2,15.76,morbi ut odio cras,3,3,34.32,83511.6,48264.54,23.1,77066.17,22.01
curabitur in libero ut massa volutpat,437777.72,aliquam augue quam sollicitudin,7,6,14.87,8.69,7.4,posuere cubilia,4,4,34.56,83255.06,71811.19,48.68,73653.57,46.76
aliquam non mauris morbi non lectus aliquam sit amet,453788.29,ut rhoncus aliquet pulvinar,5,4,14.15,16.21,10.66,purus phasellus in,4,4,44.25,12528.79,68290.96,37.62,52832.55,24.47
ante nulla justo aliquam quis turpis eget elit,255648.83,vel dapibus at diam,9,10,14.72,11.17,10.31,cum sociis natoque penatibus et,4,4,33.11,42020.03,69974.93,32.42,89665.24,46.8
justo aliquam quis turpis eget elit,409744.12,maecenas ut massa,6,3,17.94,19.3,12.1,amet eleifend pede libero,4,4,37.84,51697.91,58790.56,35.79,24443.83,48.17
congue diam id ornare imperdiet sapien urna pretium nisl,226505.05,amet diam in magna,6,2,7.61,10.55,7.65,nisl duis bibendum felis sed,4,2,37.89,90959.34,63443.77,32.71,84498.9,46.31
non velit nec nisi vulputate nonummy maecenas,274487.07,nulla justo aliquam quis turpis,5,5,15.08,11.43,12.12,in faucibus orci,3,3,31.11,56896.25,45052.11,33.04,69227.27,24.51
vel augue vestibulum ante ipsum,330346.47,fringilla rhoncus mauris,3,10,16.6,12.34,6.32,nullam orci,2,4,32.1,15860.55,18351.54,27.85,19816.1,34.71
id consequat in consequat ut nulla,377105.87,vivamus in felis,10,8,17.01,13.52,7.31,sit amet,2,3,33.84,13719.11,63812.36,31.43,50811.24,36.27
tortor quis turpis sed ante,475767.4,tristique fusce congue diam id,8,3,15.2,17.66,17.79,platea dictumst etiam,3,4,35.34,28638.14,23695.47,46.46,50348.44,24.16
adipiscing lorem vitae mattis nibh ligula nec,107159.86,ut blandit,3,8,13.05,8.95,19.13,elementum nullam varius nulla facilisi,3,4,29.73,87972.7,74431.51,22.65,93825.25,44.93
in eleifend quam a odio in,190403.89,vehicula condimentum curabitur in libero,8,8,8.53,6.25,13.8,diam cras pellentesque volutpat dui,4,4,46.78,70185.87,25873.71,37.4,40178.39,40.71
neque sapien placerat ante nulla justo aliquam quis turpis,343532.83,montes nascetur ridiculus,6,8,9.1,18.75,7.95,pellentesque viverra,4,2,49.45,14059.47,28112.17,24.03,74890.56,23.22
viverra dapibus nulla suscipit ligula,397298.9,platea dictumst,8,6,19.26,15.13,9.84,quis odio consequat varius,4,4,42.6,40808.22,92670.58,47.53,25579.95,21.96
quam sollicitudin vitae consectetuer eget,173671.71,id ligula,9,2,19.23,15.51,15.22,tempus semper est quam pharetra,4,4,27.4,78261.09,87887.81,24.33,80648.16,32.6
phasellus sit amet erat nulla tempus vivamus in,272416.66,non pretium quis,4,2,14.94,13.96,13.02,ante ipsum primis,2,3,46.14,65527.05,10863.11,42.09,64204.01,22.77
nunc commodo placerat praesent blandit nam nulla integer pede justo,387299.16,felis fusce,7,5,15.48,18.42,16.25,etiam faucibus cursus urna,3,2,46.18,59891.01,18940.95,23.29,31473.41,30.48
diam erat fermentum justo nec,226968.81,et ultrices posuere cubilia,6,10,9.29,13.91,18.01,mauris lacinia,2,2,22.31,31884.3,60770.37,47.4,32132.83,45.69
sit amet nunc viverra dapibus nulla,461090.49,pellentesque ultrices phasellus,10,10,12.89,13.99,7.29,mi pede malesuada in imperdiet,3,3,23.13,99329.76,77373.27,39.45,29255.89,28.2
in congue etiam justo etiam pretium iaculis,115554.36,imperdiet et,9,2,19.21,9.34,6.92,ipsum integer,2,2,40.46,22794.44,23280.34,27.81,91656.74,43.57
ac leo pellentesque ultrices mattis odio donec vitae nisi,323881.61,vel accumsan,6,7,14.46,11.84,6.8,aliquam convallis,3,4,31.06,59860.21,24802.94,36.14,97065.66,39.83
posuere nonummy integer non velit donec diam neque vestibulum,174158.0,hac habitasse,10,10,11.91,11.64,8.35,ullamcorper purus sit amet,4,2,40.22,19807.78,69835.62,23.06,69286.0,42.3
cubilia curae nulla dapibus dolor,223124.87,in hac habitasse platea dictumst,10,7,13.11,16.45,19.62,ipsum praesent blandit,2,4,28.6,56309.68,98227.37,44.69,72429.14,49.07
leo pellentesque ultrices mattis odio donec,338933.2,in hac habitasse platea dictumst,6,9,17.3,8.79,16.82,blandit mi in porttitor,4,4,41.44,23999.87,73407.32,35.01,43992.75,39.53
volutpat sapien arcu sed augue aliquam,353411.18,platea dictumst etiam faucibus,6,2,7.04,13.3,15.51,ac neque duis bibendum,3,4,34.47,95982.33,13952.49,42.85,53624.23,39.49
enim sit amet nunc viverra dapibus nulla,321709.42,lectus suspendisse potenti,5,8,10.69,11.89,7.79,vestibulum ac est lacinia nisi,4,4,38.71,74932.68,90262.94,42.7,54308.61,34.71
quisque porta volutpat erat quisque,141376.22,ut nulla sed,10,2,10.47,9.75,8.97,sit amet nunc viverra,2,2,34.33,36873.87,27362.62,26.59,36500.6,22.27
nam dui proin leo odio porttitor,485986.43,porttitor id consequat,7,2,18.53,12.78,12.33,aliquam lacus,3,3,46.48,68054.77,82460.38,32.52,59408.43,44.12
ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui,382726.29,vitae ipsum aliquam,9,10,15.16,18.95,17.41,praesent blandit,3,2,36.44,95331.66,92278.84,21.07,22533.53,49.17
sed lacus morbi sem mauris laoreet ut,377569.69,bibendum morbi non,8,7,14.24,18.6,7.95,amet turpis elementum ligula,3,2,24.12,89764.4,16207.06,29.34,66233.36,28.44
eget semper rutrum nulla nunc purus,448111.39,vestibulum vestibulum,9,7,10.15,18.1,13.05,sapien quis libero,2,4,23.92,11053.79,43030.98,40.42,69870.8,27.56
semper est quam pharetra magna ac,175573.55,leo odio porttitor id consequat,10,8,14.27,11.33,8.98,pretium iaculis justo,3,3,46.93,72108.73,71858.23,42.66,96383.01,37.43
non mauris morbi non lectus,434691.71,sem praesent,4,8,10.98,18.72,9.27,rhoncus aliquam lacus morbi quis,3,2,36.96,21541.0,70035.72,44.06,81034.11,41.71
sapien urna pretium nisl ut volutpat sapien arcu sed augue,135491.01,in faucibus orci,9,8,16.22,12.94,19.86,viverra eget congue eget,3,3,47.03,24724.07,77293.34,37.33,33596.53,40.76
ante nulla justo aliquam quis,185974.58,ut suscipit a,7,3,14.23,8.53,7.37,nullam molestie nibh,3,3,36.68,41312.52,59727.47,44.65,59654.98,38.08
scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula,277968.87,est quam pharetra magna,5,7,6.62,8.54,14.78,ac diam,4,2,47.77,71241.56,35464.17,22.72,72262.31,20.11
eget eros elementum pellentesque quisque porta volutpat erat quisque erat,262911.68,primis in faucibus orci luctus,6,7,12.5,9.25,10.69,pharetra magna,4,2,49.71,75655.1,19209.41,23.11,26491.22,28.45
quis orci eget orci vehicula condimentum curabitur in libero,126495.7,non pretium quis lectus,10,8,7.44,10.11,19.45,vel lectus,2,2,41.11,17029.01,80726.56,26.72,72134.0,34.76
nisl duis bibendum felis sed,381360.14,facilisi cras,10,8,7.73,15.08,16.39,ut nunc vestibulum ante,4,3,36.31,30251.14,30807.01,20.14,74966.0,23.42
